1001,Nguyễn Văn AA,18/09/1991,Nam,197200000,0918000000,furama.@gmai.com,Diamond,Da Nang
1002,Nguyễn Thị BA,18/09/1991,Nữ,197200000,0918000000,furama.@gmai.com,Member,Da Nang
1003,Nguyễn Ngọc CA,18/09/1991,Nữ,197200000,0918000000,furama.@gmai.com,Gold,Da Nang
1004,Nguyễn Văn DA,18/09/1991,Nam,197200000,0918000000,furama.@gmai.com,Platinum,Da Nang
1005,Nguyễn Văn EA,18/09/1991,Nam,197200000,0918000000,furama.@gmai.com,Member,Da Nang
1006,Nguyễn Văn FA,18/09/1991,Nam,197200000,0918000000,furama.@gmai.com,Silver,Da Nang
1007,Nguyễn Văn GA,18/09/1991,Nam,197200000,0918000000,furama.@gmai.com,Silver,Da Nang
1008,Nguyễn Văn HA,18/09/1991,Nam,197200000,0918000000,furama.@gmai.com,Silver,Da Nang
1009,Nguyễn Văn IA,18/09/1991,Nam,197200000,0918000000,furama.@gmai.com,Member,Da Nang
1012,2,0,0,0,0,0,0,0
